delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,expected_date,actual_date,is_delayed,delivery_status,delivery_rating,delivery_cost
7432,amazon logistics,pharmacy,scooter,same day,south,foggy,170.1,42.45,06-01-2024,08-01-2024,yes,delayed,3,1077.85
7433,dhl,fragile items,ev bike,two day,east,foggy,167.4,22.38,15-01-2024,16-01-2024,yes,delivered,5,904.14
7434,xpressbees,pharmacy,scooter,two day,west,hot,218,29.34,15-01-2024,18-01-2024,yes,delivered,4,1178.02
7435,dhl,fragile items,truck,same day,east,cold,158,48.68,02-01-2024,05-01-2024,yes,delivered,5,1036.04
7436,amazon logistics,groceries,truck,express,south,rainy,220.8,33.9,24-01-2024,26-01-2024,yes,delayed,3,1255.7
7437,amazon logistics,pharmacy,van,same day,south,foggy,230.7,43.79,18-01-2024,19-01-2024,yes,delayed,2,1384.87
7438,ecom express,pharmacy,ev bike,standard,east,cold,103.9,46.03,14-01-2024,15-01-2024,yes,delivered,3,657.59
7439,shadowfax,pharmacy,ev van,same day,south,rainy,208.1,29.83,11-01-2024,13-01-2024,yes,delivered,4,1229.99
7440,fedex,pharmacy,van,standard,east,hot,163.2,49.23,05-01-2024,08-01-2024,yes,delivered,4,963.69
7441,blue dart,fragile items,scooter,standard,north,hot,286.9,40.41,10-01-2024,13-01-2024,yes,delivered,3,1555.73
7442,shadowfax,documents,van,same day,north,rainy,163,15.2,13-01-2024,14-01-2024,yes,failed,2,960.6
7443,shadowfax,documents,truck,same day,central,rainy,234.4,27.51,12-01-2024,13-01-2024,yes,delayed,2,1354.53
7444,fedex,furniture,bike,same day,south,stormy,34.9,25.17,08-01-2024,09-01-2024,yes,delivered,5,350.01
7445,xpressbees,pharmacy,ev van,express,east,hot,193.6,18.88,24-01-2024,27-01-2024,yes,delayed,2,1074.64
7446,amazon logistics,furniture,van,same day,north,clear,34.6,26.52,10-01-2024,10-01-2024,no,delivered,5,352.56
7447,blue dart,clothing,ev van,express,central,cold,201.4,39.96,20-01-2024,23-01-2024,yes,failed,1,1176.88
7448,dhl,fragile items,ev van,standard,south,stormy,98.6,30.05,09-01-2024,12-01-2024,yes,delivered,5,583.15
7449,xpressbees,furniture,bike,same day,south,clear,190.8,45.51,01-01-2024,01-01-2024,no,delivered,3,1190.53
7450,amazon logistics,groceries,bike,standard,east,hot,130.8,29.98,03-01-2024,03-01-2024,no,delivered,4,743.94
7451,amazon logistics,fragile items,scooter,standard,central,stormy,245.9,19.99,23-01-2024,23-01-2024,no,delivered,5,1289.47
7452,amazon logistics,groceries,truck,same day,west,foggy,37.7,37.72,06-01-2024,08-01-2024,yes,delivered,5,401.66
7453,amazon logistics,clothing,van,same day,north,rainy,73.8,10.77,20-01-2024,20-01-2024,no,delivered,4,501.31
7454,ecom express,automobile parts,bike,standard,north,hot,127.9,27.48,08-01-2024,09-01-2024,yes,delivered,4,721.94
7455,shadowfax,groceries,truck,express,south,foggy,105.7,41.22,12-01-2024,12-01-2024,no,delayed,3,702.16
7456,ekart,automobile parts,scooter,two day,north,hot,28.3,44.63,15-01-2024,15-01-2024,no,delivered,4,275.39
7457,shadowfax,furniture,ev van,two day,east,hot,129.9,9.22,20-01-2024,20-01-2024,no,delivered,4,677.16
7458,xpressbees,documents,ev bike,two day,south,cold,172.7,44.14,24-01-2024,27-01-2024,yes,delivered,4,995.92
7459,delhivery,groceries,ev van,same day,north,cold,220.4,31.29,12-01-2024,14-01-2024,yes,delayed,2,1295.87
7460,xpressbees,automobile parts,truck,standard,west,cold,60.4,10.2,04-01-2024,07-01-2024,yes,delivered,4,332.6
7461,fedex,automobile parts,ev bike,express,south,stormy,85.7,0.84,08-01-2024,10-01-2024,yes,delayed,2,481.02
7462,ecom express,clothing,bike,same day,south,rainy,135.2,18.54,08-01-2024,09-01-2024,yes,delivered,3,831.62
7463,blue dart,automobile parts,ev bike,same day,north,clear,251.9,21.49,24-01-2024,27-01-2024,yes,delayed,2,1423.97
7464,ecom express,fragile items,van,standard,central,rainy,113.4,12.8,23-01-2024,23-01-2024,no,delivered,5,605.4
7465,fedex,pharmacy,bike,two day,west,foggy,218,0.67,13-01-2024,14-01-2024,yes,delivered,4,1091.32
7466,shadowfax,clothing,bike,two day,south,rainy,265.2,23.06,02-01-2024,05-01-2024,yes,delivered,5,1395.18
7467,shadowfax,pharmacy,scooter,standard,central,hot,56.1,46.51,12-01-2024,14-01-2024,yes,delivered,5,420.03
7468,shadowfax,groceries,van,same day,south,foggy,193.2,47.15,05-01-2024,05-01-2024,no,delayed,2,1207.45
7469,ecom express,clothing,scooter,standard,south,cold,53.7,24.58,05-01-2024,08-01-2024,yes,delivered,5,342.24
7470,blue dart,automobile parts,ev bike,express,south,clear,240.1,45.15,06-01-2024,06-01-2024,no,delivered,5,1385.95
7471,xpressbees,pharmacy,van,two day,north,clear,109.1,4.75,05-01-2024,06-01-2024,yes,delivered,4,559.75
7472,ecom express,electronics,scooter,same day,east,foggy,186.4,42.46,23-01-2024,26-01-2024,yes,failed,1,1159.38
7473,blue dart,groceries,ev bike,express,west,rainy,278,28,22-01-2024,22-01-2024,no,delayed,2,1524
7474,ekart,fragile items,van,standard,east,cold,75.5,3.66,11-01-2024,14-01-2024,yes,delivered,3,388.48
7475,fedex,groceries,ev bike,two day,east,stormy,191,3.4,17-01-2024,19-01-2024,yes,delivered,4,965.2
7476,xpressbees,furniture,truck,express,south,hot,163.6,1.5,01-01-2024,04-01-2024,yes,delayed,2,872.5
7477,ecom express,clothing,ev bike,same day,central,hot,198.7,16.42,10-01-2024,13-01-2024,yes,delivered,3,1142.76
7478,amazon logistics,electronics,ev van,standard,central,stormy,31.5,27.2,09-01-2024,09-01-2024,no,delivered,3,239.1
7479,amazon logistics,automobile parts,bike,two day,east,stormy,31.6,38.97,22-01-2024,24-01-2024,yes,delivered,5,274.91
7480,dhl,automobile parts,bike,express,west,rainy,253.8,30.04,18-01-2024,18-01-2024,no,delayed,2,1409.12
7481,shadowfax,electronics,ev bike,same day,west,foggy,86.8,24.98,05-01-2024,06-01-2024,yes,delivered,5,608.94
7482,blue dart,furniture,truck,standard,central,rainy,204.5,12.17,09-01-2024,11-01-2024,yes,delivered,5,1059.01
7483,fedex,cosmetics,scooter,same day,central,cold,208.2,30.41,20-01-2024,21-01-2024,yes,delivered,5,1232.23
7484,blue dart,fragile items,bike,two day,central,clear,56.8,48.76,25-01-2024,26-01-2024,yes,delivered,5,430.28
7485,delhivery,pharmacy,ev van,express,north,cold,121.3,46.95,04-01-2024,06-01-2024,yes,delayed,2,797.35
7486,amazon logistics,fragile items,bike,express,east,clear,35.8,19.79,10-01-2024,12-01-2024,yes,delivered,3,288.37
7487,amazon logistics,clothing,van,same day,east,foggy,33.5,24.47,17-01-2024,20-01-2024,yes,delivered,5,340.91
7488,fedex,electronics,scooter,two day,west,hot,265.8,20.98,17-01-2024,18-01-2024,yes,delivered,4,1391.94
7489,delhivery,furniture,van,two day,east,foggy,195.1,28.4,15-01-2024,18-01-2024,yes,delivered,5,1060.7
7490,delhivery,documents,ev bike,standard,east,cold,98.7,20.66,07-01-2024,09-01-2024,yes,delivered,5,555.48
7491,blue dart,cosmetics,truck,express,east,cold,168.1,11.27,15-01-2024,18-01-2024,yes,delayed,3,924.31
7492,xpressbees,groceries,bike,two day,east,cold,186.2,10.31,04-01-2024,07-01-2024,yes,delivered,5,961.93
7493,blue dart,groceries,bike,two day,west,hot,6.7,41.5,21-01-2024,22-01-2024,yes,delivered,4,158
7494,ekart,furniture,ev van,same day,west,cold,103.9,25.14,13-01-2024,15-01-2024,yes,delivered,4,694.92
7495,amazon logistics,automobile parts,scooter,standard,east,foggy,172.1,6.58,03-01-2024,03-01-2024,no,delivered,5,880.24
7496,amazon logistics,electronics,van,same day,east,clear,106.5,27.49,03-01-2024,05-01-2024,yes,delivered,4,714.97
7497,xpressbees,furniture,ev bike,two day,north,stormy,88.6,34.24,06-01-2024,07-01-2024,yes,delivered,3,545.72
7498,ekart,groceries,ev van,two day,east,foggy,140.8,8.9,17-01-2024,18-01-2024,yes,delivered,5,730.7
7499,shadowfax,electronics,scooter,same day,south,clear,220,49.42,07-01-2024,09-01-2024,yes,delivered,3,1348.26
7500,blue dart,fragile items,scooter,same day,north,rainy,221.9,8.22,15-01-2024,16-01-2024,yes,delayed,2,1234.16
7501,amazon logistics,automobile parts,van,two day,south,clear,178.3,26.06,22-01-2024,25-01-2024,yes,delivered,5,969.68
7502,delhivery,clothing,van,same day,central,clear,230.8,1.73,14-01-2024,14-01-2024,no,delayed,2,1259.19
7503,xpressbees,cosmetics,ev bike,same day,east,hot,43.6,41.05,06-01-2024,07-01-2024,yes,delivered,3,441.15
7504,fedex,cosmetics,ev bike,two day,north,rainy,48.3,5.98,20-01-2024,23-01-2024,yes,delivered,5,259.44
7505,xpressbees,cosmetics,scooter,standard,central,stormy,228.4,35.62,10-01-2024,12-01-2024,yes,delivered,4,1248.86
7506,fedex,furniture,van,standard,north,stormy,82.7,15.19,21-01-2024,24-01-2024,yes,delivered,4,459.07
7507,blue dart,documents,ev bike,two day,west,rainy,60.7,25.55,16-01-2024,19-01-2024,yes,delivered,3,380.15
7508,xpressbees,electronics,truck,standard,north,foggy,35.4,38.56,13-01-2024,13-01-2024,no,delivered,5,292.68
7509,shadowfax,electronics,truck,two day,central,foggy,132,47.8,07-01-2024,08-01-2024,yes,delivered,5,803.4
7510,fedex,clothing,ev bike,two day,west,cold,163.5,8.61,21-01-2024,22-01-2024,yes,delivered,4,843.33
7511,dhl,furniture,truck,express,central,cold,85.6,42.03,12-01-2024,14-01-2024,yes,delivered,3,604.09
7512,dhl,clothing,truck,two day,south,clear,107.9,11.09,19-01-2024,21-01-2024,yes,delivered,5,572.77
7513,fedex,cosmetics,van,same day,central,hot,290,3.15,10-01-2024,10-01-2024,no,failed,2,1559.45
7514,ekart,pharmacy,ev van,same day,central,hot,78.1,42.23,22-01-2024,24-01-2024,yes,delivered,5,617.19
7515,ekart,groceries,bike,two day,east,cold,124,15.64,04-01-2024,04-01-2024,no,delivered,5,666.92
7516,ekart,electronics,bike,two day,east,stormy,110.4,41.09,23-01-2024,23-01-2024,no,delivered,5,675.27
7517,delhivery,furniture,ev bike,two day,south,foggy,171.2,44.58,13-01-2024,16-01-2024,yes,delivered,4,989.74
7518,ecom express,fragile items,truck,two day,west,hot,247.8,31.18,04-01-2024,07-01-2024,yes,delivered,5,1332.54
7519,ekart,groceries,scooter,same day,west,hot,273.7,17.64,23-01-2024,26-01-2024,yes,delayed,3,1521.42
7520,blue dart,fragile items,truck,express,north,foggy,122.2,7.3,08-01-2024,11-01-2024,yes,delayed,2,682.9
7521,blue dart,documents,bike,standard,east,hot,125.9,8.91,20-01-2024,20-01-2024,no,delivered,3,656.23
7522,ecom express,electronics,truck,standard,east,clear,172.7,31.46,04-01-2024,05-01-2024,yes,delivered,5,957.88
7523,fedex,pharmacy,van,express,east,cold,265.8,24.68,07-01-2024,10-01-2024,yes,delivered,4,1453.04
7524,ekart,fragile items,truck,express,west,foggy,24.9,33.61,05-01-2024,06-01-2024,yes,delivered,5,275.33
7525,dhl,fragile items,van,standard,south,rainy,291.8,3.79,21-01-2024,24-01-2024,yes,delivered,4,1470.37
7526,delhivery,automobile parts,ev bike,express,north,rainy,230.7,13.18,17-01-2024,18-01-2024,yes,delivered,4,1243.04
7527,ekart,electronics,bike,two day,east,clear,137.9,9.59,12-01-2024,14-01-2024,yes,delivered,4,718.27
7528,ekart,electronics,ev van,standard,south,rainy,184,46.23,13-01-2024,16-01-2024,yes,delivered,3,1058.69
7529,amazon logistics,pharmacy,van,express,central,clear,288.9,12.57,06-01-2024,08-01-2024,yes,delayed,2,1532.21
7530,delhivery,automobile parts,scooter,two day,west,rainy,60.9,2.68,18-01-2024,20-01-2024,yes,delivered,3,312.54
7531,dhl,automobile parts,ev van,express,south,hot,282.6,5.32,24-01-2024,27-01-2024,yes,delivered,4,1478.96
7532,amazon logistics,documents,bike,same day,west,stormy,56.8,26.36,24-01-2024,24-01-2024,no,delivered,4,463.08
7533,amazon logistics,groceries,truck,same day,west,foggy,288.8,1.31,14-01-2024,15-01-2024,yes,delayed,3,1547.93
7534,fedex,pharmacy,bike,two day,central,cold,5.3,13.76,18-01-2024,18-01-2024,no,delivered,4,95.6674
7535,ekart,automobile parts,ev van,same day,west,hot,212.9,29.24,14-01-2024,14-01-2024,no,delivered,5,1252.22
7536,dhl,clothing,bike,same day,east,clear,10.1,4.81,03-01-2024,03-01-2024,no,delivered,4,164.93
7537,ekart,automobile parts,scooter,two day,south,stormy,139.1,24.86,03-01-2024,04-01-2024,yes,delivered,4,770.08
7538,shadowfax,fragile items,truck,express,south,foggy,3.6,39.45,25-01-2024,26-01-2024,yes,delayed,3,183.85
7539,ekart,electronics,ev van,express,south,foggy,13.8,38.57,23-01-2024,24-01-2024,yes,delayed,3,234.71
7540,shadowfax,fragile items,van,same day,central,rainy,237.5,10.17,11-01-2024,11-01-2024,no,delayed,3,1318.01
7541,shadowfax,pharmacy,scooter,same day,central,cold,276.1,9.53,23-01-2024,26-01-2024,yes,delivered,5,1509.09
7542,ecom express,automobile parts,van,same day,central,clear,214,42.83,20-01-2024,22-01-2024,yes,delivered,4,1298.49
7543,dhl,clothing,ev van,two day,central,clear,252.4,36.51,10-01-2024,11-01-2024,yes,delivered,4,1371.53
7544,ecom express,automobile parts,ev van,same day,east,foggy,47.5,19.32,16-01-2024,19-01-2024,yes,delivered,4,395.46
7545,dhl,electronics,bike,two day,west,cold,180,40.71,15-01-2024,15-01-2024,no,delivered,3,1022.13
7546,xpressbees,electronics,ev van,standard,north,hot,149.8,3.34,23-01-2024,25-01-2024,yes,delivered,4,759.02
7547,shadowfax,furniture,ev van,standard,north,foggy,257.1,9.64,13-01-2024,15-01-2024,yes,delivered,5,1314.42
7548,amazon logistics,pharmacy,truck,two day,south,rainy,167.2,30.99,12-01-2024,12-01-2024,no,delivered,4,928.97
7549,fedex,clothing,scooter,express,north,rainy,274.9,29.87,03-01-2024,03-01-2024,no,delayed,3,1514.11
7550,amazon logistics,documents,van,express,west,rainy,272.9,31.9,16-01-2024,16-01-2024,no,delayed,2,1510.2
7551,dhl,groceries,ev bike,two day,central,stormy,103.7,35.45,05-01-2024,07-01-2024,yes,delivered,5,624.85
7552,fedex,clothing,scooter,express,north,cold,224,18.64,16-01-2024,17-01-2024,yes,delayed,2,1225.92
7553,fedex,clothing,van,standard,west,stormy,265.5,12.92,16-01-2024,16-01-2024,no,delivered,3,1366.26
7554,xpressbees,clothing,van,same day,south,stormy,110.3,31.24,22-01-2024,24-01-2024,yes,delayed,3,745.22
7555,shadowfax,automobile parts,bike,standard,east,foggy,232.6,48.31,17-01-2024,18-01-2024,yes,delivered,3,1307.93
7556,delhivery,automobile parts,van,two day,south,rainy,3.6,21.71,04-01-2024,04-01-2024,no,delivered,4,95.6674
7557,amazon logistics,pharmacy,bike,express,north,clear,128.6,3.42,10-01-2024,10-01-2024,no,delivered,5,703.26
7558,xpressbees,cosmetics,bike,express,west,clear,191.5,38.62,18-01-2024,20-01-2024,yes,delayed,3,1123.36
7559,delhivery,clothing,van,two day,south,foggy,110,20.88,08-01-2024,09-01-2024,yes,delivered,5,612.64
7560,ecom express,electronics,ev bike,standard,east,cold,265.2,10.57,25-01-2024,25-01-2024,no,delivered,5,1357.71
7561,shadowfax,groceries,ev van,same day,east,hot,196,4.4,10-01-2024,11-01-2024,yes,delayed,2,1093.2
7562,delhivery,automobile parts,van,two day,east,cold,161.3,43.93,13-01-2024,16-01-2024,yes,delivered,3,938.29
7563,fedex,furniture,ev bike,standard,north,rainy,259.8,47.3,06-01-2024,06-01-2024,no,delivered,4,1440.9
7564,amazon logistics,fragile items,scooter,two day,west,hot,225.2,37.12,15-01-2024,17-01-2024,yes,delivered,4,1237.36
7565,ekart,groceries,truck,same day,north,stormy,73.8,16.21,18-01-2024,19-01-2024,yes,delivered,4,517.63
7566,ecom express,documents,truck,standard,west,clear,240.8,33.89,22-01-2024,23-01-2024,yes,delivered,5,1305.67
7567,dhl,fragile items,scooter,two day,west,clear,154.6,17.69,16-01-2024,17-01-2024,yes,delivered,5,826.07
7568,ekart,furniture,van,two day,south,hot,62.4,9.24,03-01-2024,05-01-2024,yes,delivered,4,339.72
7569,dhl,cosmetics,ev bike,two day,south,rainy,293,40.74,10-01-2024,13-01-2024,yes,delivered,5,1587.22
7570,fedex,cosmetics,scooter,two day,north,foggy,120.6,37.32,04-01-2024,06-01-2024,yes,delivered,4,714.96
7571,xpressbees,cosmetics,truck,same day,east,hot,11.7,43.48,01-01-2024,01-01-2024,no,delivered,5,288.94
7572,ecom express,cosmetics,scooter,standard,north,clear,276.4,43.94,06-01-2024,07-01-2024,yes,delivered,3,1513.82
7573,blue dart,fragile items,truck,same day,east,rainy,39,38.68,13-01-2024,15-01-2024,yes,delivered,3,411.04
7574,ecom express,furniture,bike,two day,north,clear,137.3,33.97,12-01-2024,15-01-2024,yes,delivered,5,788.41
7575,fedex,documents,van,two day,central,stormy,155.9,2.61,01-01-2024,01-01-2024,no,delivered,4,787.33
7576,blue dart,furniture,truck,standard,north,clear,228.4,7.33,25-01-2024,25-01-2024,no,delivered,5,1163.99
7577,ecom express,documents,ev bike,same day,west,hot,24.4,13.24,20-01-2024,21-01-2024,yes,delivered,3,261.72
7578,dhl,electronics,van,two day,east,clear,224.8,4.01,10-01-2024,12-01-2024,yes,delivered,4,1136.03
7579,shadowfax,groceries,bike,standard,south,stormy,210.7,10.52,20-01-2024,22-01-2024,yes,delivered,4,1085.06
7580,xpressbees,furniture,bike,standard,north,stormy,92.3,8.32,12-01-2024,14-01-2024,yes,delivered,3,486.46
7581,delhivery,furniture,truck,standard,west,hot,238.2,49.51,19-01-2024,22-01-2024,yes,delivered,4,1339.53
7582,blue dart,groceries,ev bike,same day,west,hot,55.4,40.03,01-01-2024,01-01-2024,no,delivered,5,497.09
7583,xpressbees,cosmetics,ev van,express,west,foggy,290,3.05,04-01-2024,07-01-2024,yes,delayed,3,1509.15
7584,ekart,documents,ev bike,two day,north,cold,280.1,3.02,19-01-2024,19-01-2024,no,delivered,3,1409.56
7585,delhivery,pharmacy,van,two day,central,rainy,198.5,36.53,18-01-2024,18-01-2024,no,delivered,5,1102.09
7586,delhivery,documents,van,standard,central,cold,103.3,12.23,25-01-2024,26-01-2024,yes,delivered,5,553.19
7587,amazon logistics,automobile parts,ev van,same day,west,cold,127.5,45.28,14-01-2024,17-01-2024,yes,delivered,5,873.34
7588,blue dart,pharmacy,ev van,two day,north,hot,229.1,48.03,04-01-2024,05-01-2024,yes,delivered,5,1289.59
7589,delhivery,pharmacy,van,standard,east,stormy,63.1,35.62,22-01-2024,22-01-2024,no,delivered,4,422.36
7590,shadowfax,groceries,van,standard,south,clear,94.2,15.78,03-01-2024,03-01-2024,no,delivered,3,518.34
7591,blue dart,cosmetics,bike,two day,west,foggy,133.1,41.95,01-01-2024,03-01-2024,yes,delivered,4,791.35
7592,shadowfax,groceries,scooter,standard,west,foggy,235,15.49,16-01-2024,19-01-2024,yes,delivered,5,1221.47
7593,fedex,fragile items,truck,standard,central,foggy,44.2,26.53,18-01-2024,21-01-2024,yes,delivered,4,300.59
7594,shadowfax,clothing,truck,two day,central,clear,35.6,3.25,05-01-2024,05-01-2024,no,delivered,4,187.75
7595,fedex,fragile items,truck,same day,central,cold,271.2,25.16,10-01-2024,11-01-2024,yes,delivered,5,1531.48
7596,amazon logistics,automobile parts,scooter,two day,north,stormy,289.9,14.12,12-01-2024,15-01-2024,yes,delayed,3,1491.86
7597,shadowfax,documents,scooter,express,north,clear,161.2,38.72,04-01-2024,06-01-2024,yes,delivered,4,972.16
7598,dhl,documents,van,same day,central,clear,213.6,30.89,22-01-2024,23-01-2024,yes,failed,1,1260.67
7599,delhivery,automobile parts,ev van,same day,west,hot,58.9,24.14,08-01-2024,10-01-2024,yes,delivered,5,466.92
7600,ekart,groceries,ev van,two day,west,stormy,260,32.64,03-01-2024,06-01-2024,yes,delivered,5,1397.92
7601,blue dart,cosmetics,bike,standard,south,rainy,260.3,15.61,24-01-2024,27-01-2024,yes,delivered,4,1348.33
7602,delhivery,clothing,van,standard,east,rainy,46.9,5.42,19-01-2024,20-01-2024,yes,delivered,5,250.76
7603,ekart,groceries,truck,express,west,clear,222.6,18.34,24-01-2024,26-01-2024,yes,failed,2,1218.02
7604,blue dart,cosmetics,scooter,same day,west,stormy,63.3,30.17,01-01-2024,03-01-2024,yes,delivered,5,507.01
7605,delhivery,automobile parts,van,same day,central,clear,135.6,7.74,13-01-2024,14-01-2024,yes,delivered,4,801.22
7606,ekart,groceries,bike,two day,south,hot,99.9,25.24,12-01-2024,15-01-2024,yes,delivered,5,575.22
7607,fedex,electronics,van,same day,central,foggy,261.4,38.99,24-01-2024,25-01-2024,yes,delayed,2,1523.97
7608,blue dart,groceries,ev van,two day,south,rainy,140,46.49,16-01-2024,16-01-2024,no,delivered,3,839.47
7609,ekart,pharmacy,ev van,same day,west,foggy,246.7,17,12-01-2024,15-01-2024,yes,delayed,2,1384.5
7610,delhivery,fragile items,bike,express,north,cold,182.6,27.09,05-01-2024,06-01-2024,yes,delivered,4,1044.27
7611,delhivery,fragile items,truck,two day,south,foggy,146.5,17.44,25-01-2024,26-01-2024,yes,delivered,5,784.82
7612,blue dart,cosmetics,ev van,express,north,rainy,201.8,30.25,13-01-2024,13-01-2024,no,delayed,3,1149.75
7613,fedex,clothing,ev bike,two day,south,cold,3.6,3.64,24-01-2024,25-01-2024,yes,delivered,5,95.6674
7614,shadowfax,furniture,bike,same day,east,clear,162.9,2.95,17-01-2024,18-01-2024,yes,delivered,5,923.35
7615,amazon logistics,pharmacy,van,standard,central,rainy,58,28.8,08-01-2024,10-01-2024,yes,delivered,5,376.4
7616,shadowfax,furniture,ev bike,standard,north,stormy,235.3,17.52,21-01-2024,23-01-2024,yes,delivered,3,1229.06
7617,shadowfax,automobile parts,ev van,two day,east,stormy,260,21.21,15-01-2024,18-01-2024,yes,delivered,4,1363.63
7618,ecom express,automobile parts,scooter,two day,north,foggy,224.5,24.39,15-01-2024,17-01-2024,yes,delivered,5,1195.67
7619,ekart,clothing,scooter,standard,north,foggy,281.7,22.1,08-01-2024,09-01-2024,yes,delivered,4,1474.8
7620,amazon logistics,automobile parts,scooter,standard,north,hot,44,7.53,22-01-2024,24-01-2024,yes,delivered,3,242.59
7621,ecom express,fragile items,ev van,express,east,clear,66.1,46.45,22-01-2024,25-01-2024,yes,delayed,2,519.85
7622,shadowfax,cosmetics,scooter,same day,west,stormy,214,9.16,21-01-2024,24-01-2024,yes,delayed,3,1197.48
7623,amazon logistics,groceries,van,express,south,hot,42,17.77,15-01-2024,16-01-2024,yes,delayed,2,313.31
7624,blue dart,cosmetics,bike,standard,west,rainy,153.6,22.21,07-01-2024,07-01-2024,no,delivered,3,834.63
7625,amazon logistics,pharmacy,ev van,same day,east,hot,205.4,35.04,10-01-2024,12-01-2024,yes,delivered,3,1232.12
7626,shadowfax,automobile parts,bike,same day,west,stormy,63.7,5.42,07-01-2024,08-01-2024,yes,delayed,2,434.76
7627,blue dart,cosmetics,truck,same day,east,foggy,121.1,12.5,14-01-2024,16-01-2024,yes,delivered,5,743
7628,delhivery,automobile parts,bike,two day,central,cold,243.4,42.28,11-01-2024,14-01-2024,yes,delivered,3,1343.84
7629,xpressbees,groceries,van,express,west,clear,109.5,32.87,21-01-2024,23-01-2024,yes,delivered,4,696.11
7630,dhl,electronics,truck,same day,central,rainy,207.5,1.44,01-01-2024,04-01-2024,yes,delayed,3,1141.82
7631,ekart,furniture,ev bike,express,central,hot,285.9,36.58,12-01-2024,12-01-2024,no,delivered,4,1589.24
7632,dhl,automobile parts,truck,two day,south,clear,229.3,18.08,06-01-2024,09-01-2024,yes,delivered,3,1200.74
7633,ecom express,pharmacy,van,express,south,clear,238.5,39.41,01-01-2024,04-01-2024,yes,delayed,3,1360.73
7634,dhl,cosmetics,scooter,express,south,cold,95.1,5.45,12-01-2024,15-01-2024,yes,delayed,3,541.85
7635,delhivery,pharmacy,ev bike,same day,west,clear,51.2,19.19,20-01-2024,23-01-2024,yes,delivered,5,413.57
7636,ekart,pharmacy,ev bike,express,east,cold,222.7,24.02,02-01-2024,05-01-2024,yes,delayed,3,1235.56
7637,blue dart,electronics,ev bike,express,east,hot,134.2,45.04,16-01-2024,17-01-2024,yes,failed,1,856.12
7638,xpressbees,groceries,ev bike,two day,north,cold,208.4,47.48,24-01-2024,26-01-2024,yes,delivered,5,1184.44
7639,amazon logistics,electronics,scooter,standard,east,clear,92.4,21.51,09-01-2024,10-01-2024,yes,delivered,4,526.53
7640,amazon logistics,groceries,ev van,standard,north,rainy,63.4,26.74,25-01-2024,25-01-2024,no,delivered,5,397.22
7641,shadowfax,cosmetics,ev van,two day,central,rainy,151.1,20.95,15-01-2024,15-01-2024,no,delivered,5,818.35
7642,xpressbees,fragile items,van,express,central,hot,35.5,12.7,08-01-2024,08-01-2024,no,delivered,5,265.6
7643,dhl,documents,scooter,two day,north,rainy,169.9,17.7,07-01-2024,08-01-2024,yes,delivered,4,902.6
7644,shadowfax,pharmacy,van,same day,east,rainy,74.1,41.79,15-01-2024,17-01-2024,yes,delivered,5,595.87
7645,delhivery,documents,van,standard,west,stormy,45.7,43.31,04-01-2024,07-01-2024,yes,delivered,5,358.43
7646,fedex,clothing,ev van,standard,east,stormy,144.6,41.17,06-01-2024,09-01-2024,yes,delivered,4,846.51
7647,shadowfax,automobile parts,scooter,two day,north,foggy,177.3,0.67,12-01-2024,14-01-2024,yes,delivered,4,887.37
7648,delhivery,pharmacy,ev van,two day,west,clear,238.5,17.85,12-01-2024,12-01-2024,no,delivered,4,1246.05
7649,fedex,clothing,scooter,express,central,foggy,86.2,34.02,02-01-2024,03-01-2024,yes,delayed,3,583.06
7650,xpressbees,clothing,ev van,express,central,foggy,172.8,49,01-01-2024,04-01-2024,yes,failed,2,1061
7651,dhl,electronics,ev van,two day,south,stormy,174.8,1.84,15-01-2024,17-01-2024,yes,delivered,5,879.52
7652,fedex,furniture,truck,standard,central,cold,50.8,1.97,07-01-2024,07-01-2024,no,delivered,3,259.91
7653,ekart,electronics,bike,same day,central,foggy,7,8.22,04-01-2024,05-01-2024,yes,delivered,5,159.66
7654,ekart,pharmacy,truck,express,central,clear,182.3,47.14,12-01-2024,14-01-2024,yes,delayed,3,1102.92
7655,blue dart,groceries,ev van,two day,central,clear,162,20.68,16-01-2024,17-01-2024,yes,delivered,3,872.04
7656,ekart,pharmacy,ev van,express,south,clear,284.2,17.43,15-01-2024,15-01-2024,no,delayed,2,1523.29
7657,amazon logistics,clothing,van,express,east,cold,179.9,21.93,07-01-2024,09-01-2024,yes,failed,2,1015.29
7658,ecom express,clothing,van,same day,west,stormy,60.8,5.95,02-01-2024,02-01-2024,no,delivered,5,421.85
7659,shadowfax,electronics,van,same day,central,rainy,223.4,42.26,11-01-2024,13-01-2024,yes,delayed,3,1343.78
7660,shadowfax,electronics,scooter,standard,north,hot,7.5,24.3,07-01-2024,07-01-2024,no,delivered,4,110.4
7661,shadowfax,electronics,truck,standard,north,cold,211.6,24.52,16-01-2024,16-01-2024,no,delivered,3,1131.56
7662,fedex,documents,ev van,two day,central,foggy,244,40.17,24-01-2024,24-01-2024,no,delivered,4,1340.51
7663,dhl,fragile items,scooter,two day,west,hot,51.9,9.2,21-01-2024,23-01-2024,yes,delivered,4,287.1
7664,shadowfax,pharmacy,ev van,standard,south,hot,83.1,13.44,07-01-2024,09-01-2024,yes,delivered,4,455.82
